שם החומר (עברית),Chemical Name (English),נוסחה כימית,מספר CAS,נקודת הבזק (°C),נקודת רתיחה (°C),LEL (%),UEL (%),טמפרטורת התלקחות עצמית (°C),לחץ אדים (mmHg @ 20°C),צפיפות יחסית (מים=1),צפיפות אדים (אוויר=1),מסיסות במים,pH (אם רלוונטי),קבוצת NFPA 400 ראשית,תת-קבוצה NFPA 400,קבוצות NFPA 400 נוספות,סיווג NFPA 30,Class NFPA 30,LC50 (ppm),LD50 (mg/kg),רמת סיכון בריאות NFPA,רמת דליקות NFPA,רמת תגובתיות NFPA,סיכונים מיוחדים NFPA,UN Number,Class DOT,Packing Group,הערות,"MAQ אחסון - מערכת סגורה (ק""ג/ליטר)","MAQ אחסון - מערכת פתוחה (ק""ג/ליטר)","MAQ שימוש - מערכת סגורה (ק""ג/ליטר)","MAQ שימוש - מערכת פתוחה (ק""ג/ליטר)","MAQ גז - אחסון (מ""ק)","MAQ גז - שימוש (מ""ק)",Protection Level,הערות MAQ,יחידות MAQ
אתנול,Ethanol,C₂H₅OH,64-17-5,13,78,3.3,19,363,44,0.79,1.59,מסיס,,נוזלים דליקים,Class IB,,נוזל דליק,Class IB,,,2,3,0,,1170,3,II,דוגמה,454.2,454.2,,,,,3,Flammable Liquid IB,ליטר
אצטון,Acetone,CH₃COCH₃,67-64-1,-18,56,2.5,13,465,184,0.79,2.0,מסיס,,נוזלים דליקים,Class IB,,נוזל דליק,Class IB,50100,,1,3,0,,1090,3,II,נדיף מאוד,454.2,454.2,,,,,3,Flammable Liquid IB,ליטר
מימן נוזלי,Liquid Hydrogen,H₂,1333-74-0,גז,-253,4,75,500,לא רלוונטי,0.07,0.07,לא מסיס,,גזים דליקים קריוגניים,Class 4,גזים דליקים,לא רלוונטי,,,,0,4,3,CRYO,1966,2.1,,קריוגני,,,,,28.3,,2,Flammable Gas,"מ""ק"
נתרן,Sodium,Na,7440-23-5,לא רלוונטי,883,,,,לא רלוונטי,0.97,,מגיב אלים,,חומרים רגישים למים,Class 3,פירוטכניקה,לא רלוונטי,,,,3,1,3,W,1428,4.3,I,מתלקח במים,45.4,45.4,4.5,4.5,22.7,22.7,2,Reacts explosively,"מ""ק"
חמצן נוזלי,Liquid Oxygen,O₂,7782-44-7,לא דליק,-183,,,,לא רלוונטי,1.14,1.1,מסיס מעט,,חומרים מחמצנים קריוגניים,,,לא רלוונטי,,,,0,0,0,OX CRYO,1073,2.2,,מחמצן+קריוגני,,,,,,,,,
בנזן,Benzene,C₆H₆,71-43-2,-11,80,1.2,7.8,498,75,0.88,2.77,לא מסיס,,נוזלים דליקים,Class IB,חומרים רעילים,נוזל דליק,Class IB,10000,930,2,3,0,,1114,3,II,מסרטן,454.2,454.2,,,,,3,Flammable Liquid IB,ליטר
מתנול,Methanol,CH₃OH,67-56-1,11,65,6.0,36,385,97,0.79,1.11,מסיס,,נוזלים דליקים,Class IB,חומרים רעילים,נוזל דליק,Class IB,64000,5628,1,3,0,,1230,3,II,רעיל בבליעה,454.2,454.2,,,,,3,Flammable Liquid IB,ליטר
טולואן,Toluene,C₇H₈,108-88-3,4,111,1.1,7.1,480,22,0.87,3.14,לא מסיס,,נוזלים דליקים,Class IB,,נוזל דליק,Class IB,49000,636,2,3,0,,1294,3,II,ממס תעשייתי,454.2,454.2,,,,,3,Flammable Liquid IB,ליטר
חומצה גופרתית 98%,Sulfuric Acid 98%,H₂SO₄,7664-93-9,לא דליק,337,,,,<1,1.84,,מסיס,<1,חומרים קורוזיביים,,מחמצנים קורוזיביים,לא רלוונטי,,347,2140,3,0,2,W OX,1830,8,II,קורוזיבי חזק,454,454,113.5,113.5,227,227,N/A,Corrosive Material,"מ""ק"
אמוניה נוזלית,Liquid Ammonia,NH₃,7664-41-7,גז,-33,15,28,651,7600,0.68,0.59,מסיס,11.6,גזים רעילים,,גזים קורוזיביים,לא רלוונטי,,2000,,3,1,0,COR,1005,2.3,,גז רעיל+קורוזיבי,227,227,4.5,4.5,113.5,113.5,3,Toxic Material,"מ""ק"
